date,end_of_day,vol
2020-12-01,589.5818,
2020-12-02,598.7606,
2020-12-03,616.5067,
2020-12-04,571.1904,
2020-12-05,595.9194,
2020-12-06,601.9689,
2020-12-07,592.3865,
2020-12-08,554.3297,
2020-12-09,573.8953,
2020-12-10,560.4543,
2020-12-11,545.9828,
2020-12-12,568.3588,
2020-12-13,590.3244,
2020-12-14,585.5419,
2020-12-15,589.0668,
2020-12-16,635.9619,
2020-12-17,644.0653,
2020-12-18,654.4204,
2020-12-19,659.3188,
2020-12-20,639.5154,
2020-12-21,610.427,
2020-12-22,634.9797,
2020-12-23,587.9589,
2020-12-24,612.8797,
2020-12-25,626.4567,
2020-12-26,636.7423,
2020-12-27,689.6599,
2020-12-28,732.957,
2020-12-29,735.5909,
2020-12-30,752.8559,
2020-12-31,738.6169,
2021-01-01,730.1473,
2021-01-02,777.6961,
2021-01-03,967.0006,
2021-01-04,1025.6548,
2021-01-05,1103.3583,
2021-01-06,1208.5751,
2021-01-07,1229.4713,
2021-01-08,1223.7297,
2021-01-09,1282.9796,
2021-01-10,1267.731,
2021-01-11,1092.9143,
2021-01-12,1045.4068,
2021-01-13,1132.0156,
2021-01-14,1216.9148,
2021-01-15,1171.86,
2021-01-16,1234.6319,
2021-01-17,1229.3797,
2021-01-18,1255.9767,
2021-01-19,1383.4841,
2021-01-20,1385.853,
2021-01-21,1122.9124,
2021-01-22,1236.6834,
2021-01-23,1231.1764,
2021-01-24,1392.5398,
2021-01-25,1323.4295,
2021-01-26,1355.2337,
2021-01-27,1253.1417,
2021-01-28,1328.7736,
2021-01-29,1380.2843,
2021-01-30,1372.4272,
2021-01-31,1317.0474,
2021-02-01,1368.6645,
2021-02-02,1514.2252,
2021-02-03,1661.0008,
2021-02-04,1587.8009,
2021-02-05,1724.8569,
2021-02-06,1683.9413,
2021-02-07,1608.6405,
2021-02-08,1750.9976,
2021-02-09,1769.0535,
2021-02-10,1739.1642,
2021-02-11,1782.5089,
2021-02-12,1841.1978,
2021-02-13,1810.8425,
2021-02-14,1804.9841,
2021-02-15,1775.7584,
2021-02-16,1782.5753,
2021-02-17,1845.5739,
2021-02-18,1938.5694,
2021-02-19,1969.9797,
2021-02-20,1929.3677,
2021-02-21,1941.4268,
2021-02-22,1788.6152,
2021-02-23,1563.9246,
2021-02-24,1628.3915,
2021-02-25,1468.8601,
2021-02-26,1450.9887,
2021-02-27,1480.1296,
2021-02-28,1416.6616,
2021-03-01,1570.3997,
2021-03-02,1497.0891,
2021-03-03,1579.4272,
